"subn","word1","word2","points","value","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1155","find","clown",2,0,28,1,62,2.915,9,0.25,0,1,0,1.095,"",NA,NA,NA,"beet",0,16.618,"18.599"
"1155","link","crisis",12,1,4,1,25,3.115,31,0.861111111111111,0,1,0,0.935,"",NA,NA,NA,"broken",0,29.538,"33.375"
"1155","need","faucet",11,1,7,1,85,13.178,20,0.555555555555556,1,1,1,0.83,"otter",0,NA,13.951,"faucet",1,7.018,"10.887"
"1155","mill","feast",12,1,16,1,39,1.995,27,0.75,0,1,0,1.124,"",NA,NA,NA,"copy",0,16.067,"18.527"
"1155","smother","surgery",3,0,5,1,72,2.282,22,0.611111111111111,1,1,1,7.862,"surgery",1,NA,13.837,"surgery",1,12.348,"17.335"
"1155","knock","otter",12,1,25,1,80,6.642,6,0.166666666666667,1,1,1,1.181,"otter",1,NA,8.583,"milk",0,16.417,"18.461"
"1155","capital","figure",3,0,12,1,37,16.723,34,0.944444444444444,0,1,0,0.807,"",NA,NA,NA,"copy",0,12.931,"15.264"
"1155","nerve","bumper",11,1,6,1,76,7.002,8,0.222222222222222,1,1,1,0.958,"bumper",1,NA,8.111,"bath",0,9.274,"11.303"
"1155","climax","saucer",11,1,31,1,36,2.355,33,0.916666666666667,0,1,0,0.703,"",NA,NA,NA,"laugh",0,19.729,"22.55"
"1155","caring","skirt",1,0,36,1,27,2.41,14,0.388888888888889,1,1,1,0.919,"jar",0,NA,21.597,"force",0,15.13,"19.111"
"1155","plant","worm",1,0,14,1,67,1.384,36,1,0,1,0,4.045,"",NA,NA,NA,"bullet",0,10.314,"13.663"
"1155","grip","beach",12,1,34,1,67,5.689,1,0.0277777777777778,1,1,1,-99,"beach",1,NA,19.575,"beach",1,3.57,"6.327"
"1155","replace","roach",11,1,13,1,35,1.874,17,0.472222222222222,0,1,0,1.55,"",NA,NA,NA,"glove",0,7.042,"9.703"
"1155","date","laugh",12,1,30,1,84,1.85,32,0.888888888888889,0,1,0,0.991,"",NA,NA,NA,"laugh",1,3.843,"6.703"
"1155","shrink","mafia",10,1,2,1,74,2.073,15,0.416666666666667,1,1,1,1.622,"mafia",1,NA,7.275,"mafia",1,3.73,"7.687"
"1242","capital","figure",3,0,32,1,67,2.727,11,0.305555555555556,0,0,1,3.392,"",NA,NA,NA,"skip",0,41.473,"45.657"
"1242","smother","surgery",3,0,16,1,84,2.53,35,0.972222222222222,1,0,0,1.111,"surgeon",0,NA,6.177,"surgeon",0,30.039,"33.492"
"1242","pea","bathtub",12,1,31,1,92,2.379,20,0.555555555555556,0,0,1,0.975,"",NA,NA,NA,"bathtub",1,3.768,"6.96"
"1242","plant","worm",1,0,26,1,100,2.465,2,0.0555555555555556,0,0,1,7.13,"",NA,NA,NA,"worm",1,2.287,"4.581"
"1242","calf","annoy",2,0,17,1,35,2.57,7,0.194444444444444,0,0,1,1.167,"",NA,NA,NA,"annoying",0,6.585,"9.533"
"1242","anger","decay",1,0,3,1,100,2.071,6,0.166666666666667,0,0,1,1.608,"",NA,NA,NA,"decay",1,2.723,"5.463"
"1242","remind","foam",2,0,36,1,23,2.308,5,0.138888888888889,0,0,1,1.022,"",NA,NA,NA,"foam",1,41.678,"46.358"
"1242","nerve","bumper",11,1,4,1,69,6.677,12,0.333333333333333,0,0,1,1.047,"",NA,NA,NA,"skip",0,30.435,"33.295"
"1242","grip","beach",12,1,28,1,52,3.363,28,0.777777777777778,1,0,0,5.876,"beach",1,NA,15.256,"skip",0,3.444,"7.173"
"1242","date","laugh",12,1,10,1,78,2.51,15,0.416666666666667,0,0,1,1.19,"",NA,NA,NA,"laugh",1,19.96,"23.602"
"1242","knock","otter",12,1,30,1,81,2.511,24,0.666666666666667,0,0,1,0.91,"",NA,NA,NA,"skip",0,18.618,"22.39"
"1242","caring","skirt",1,0,11,1,23,2.186,30,0.833333333333333,1,0,0,0.862,"dunno",0,NA,5.146,"skirt",1,9.205,"11.951"
"1242","bleach","ruin",10,1,7,1,91,2.411,17,0.472222222222222,0,0,1,1.075,"",NA,NA,NA,"ruin",1,4.577,"40.512"
"1242","need","faucet",11,1,14,1,69,3.073,14,0.388888888888889,0,0,1,0.919,"",NA,NA,NA,"faucet",1,17.599,"22.573"
"1242","link","crisis",12,1,2,1,31,2.781,25,0.694444444444444,1,0,0,1.161,"dunno",0,NA,15.103,"skip",0,3.761,"5.933"
"1242","climax","saucer",11,1,1,1,37,1.907,18,0.5,1,0,0,1,"saucer",1,NA,5.238,"saucer",1,2.744,"5.783"
"1242","fan","feature",1,0,8,1,74,2.245,13,0.361111111111111,0,0,1,1.064,"",NA,NA,NA,"skip",0,44.488,"47.127"
"1242","visit","glove",2,0,15,1,34,2.018,31,0.861111111111111,1,0,0,1.125,"glove",1,NA,71.787,"skip",0,2.416,"4.445"
"1242","want","ascent",10,1,22,1,57,2.853,3,0.0833333333333333,1,0,0,1.929,"bias",0,NA,6.482,"skip",0,5.948,"8.223"
"1242","process","joker",10,1,21,1,39,4.1,22,0.611111111111111,1,0,0,1.034,"joker",1,NA,21.702,"joker",1,11.749,"14.752"
"1242","fee","chowder",3,0,20,1,33,2.311,16,0.444444444444444,1,0,0,1.108,"chowder",1,NA,36.394,"skip",0,3.735,"7.773"
"1242","pork","emperor",10,1,33,1,100,2.406,36,1,1,0,0,1.109,"emporer",0,NA,5.61,"emporer",0,2.146,"5.55"
"1242","replace","roach",11,1,9,1,69,1.849,34,0.944444444444444,1,0,0,0.746,"dunno",0,NA,13.005,"skip",0,3.444,"6.706"
"1242","bias","sirloin",1,0,5,1,25,2.262,26,0.722222222222222,1,0,0,0.879,"dunno",0,NA,7.816,"skip",0,2.11,"5.959"
"1242","mill","feast",12,1,25,1,100,2.83,4,0.111111111111111,0,0,1,1.185,"",NA,NA,NA,"feast",1,35.353,"38.197"
"1242","bullet","walkway",11,1,29,1,32,2.072,21,0.583333333333333,1,0,0,0.89,"walkway",1,NA,39.342,"walkway",1,2.255,"5.145"
"1242","shrink","mafia",10,1,18,1,100,2.76,9,0.25,0,0,1,1.079,"",NA,NA,NA,"skip",0,5.991,"8.296"
"1242","bacon","feud",3,0,6,1,86,3.905,23,0.638888888888889,0,0,1,0.89,"",NA,NA,NA,"feud",1,3.625,"31.662"
"1242","copy","bedroom",3,0,13,1,63,2.186,32,0.888888888888889,1,0,0,0.75,"bedroom",1,NA,26.927,"skip",0,5.049,"8.31"
"1242","find","clown",2,0,23,1,100,3.102,8,0.222222222222222,0,0,1,1.03,"",NA,NA,NA,"skip",0,4.11,"6.567"
"1242","prison","loaf",3,0,19,1,42,2.631,10,0.277777777777778,1,0,0,1.287,"foam",0,NA,7.651,"loaf",1,1.923,"4.816"
"1242","glue","force",11,1,24,1,82,2.7,19,0.527777777777778,0,0,1,0.779,"",NA,NA,NA,"force",1,58.443,"61.283"
"1242","rock","milk",10,1,34,1,85,2.09,33,0.916666666666667,1,0,0,3.469,"milk",1,NA,4.623,"milk",1,1.873,"3.61"
"1242","port","cinema",2,0,27,1,10,4.127,1,0.0277777777777778,0,0,1,-99,"",NA,NA,NA,"skip",0,3.826,"6.949"
"1242","chicken","beet",1,0,35,1,100,2.254,27,0.75,1,0,0,1.018,"foam",0,NA,6.177,"skip",0,6.404,"8.845"
"1242","biology","temper",2,0,12,1,49,3.356,29,0.805555555555556,1,0,0,1.175,"anger",0,NA,5.266,"temper",1,17.654,"20.642"
"1282","bullet","walkway",11,1,13,1,72,1.846,35,0.972222222222222,0,0,1,1.05,"",NA,NA,NA,"walkway",1,33.831,"35.593"
"1282","knock","otter",12,1,31,1,72,1.679,29,0.805555555555556,0,0,1,0.891,"",NA,NA,NA,"otter",1,49.944,"52.023"
"1282","bias","sirloin",1,0,12,1,75,22.275,5,0.138888888888889,1,0,0,1.252,"sirloin",1,NA,22.118,"sirloin",1,17.574,"19.726"
"1282","visit","glove",2,0,9,1,74,1.847,22,0.611111111111111,0,0,1,1.238,"",NA,NA,NA,"glove",1,13.728,"15.306"
"1282","find","clown",2,0,19,1,74,1.601,30,0.833333333333333,0,0,1,1.108,"",NA,NA,NA,"clown",1,23.221,"24.71"
"1282","climax","saucer",11,1,11,1,76,1.954,6,0.166666666666667,1,0,0,1.249,"saucer",1,NA,36.99,"beach",0,3.525,"5.506"
"1282","bacon","feud",3,0,34,1,81,1.789,33,0.916666666666667,0,0,1,2.095,"",NA,NA,NA,"house",0,1.8,"3.522"
"1282","copy","bedroom",3,0,16,1,76,1.589,32,0.888888888888889,0,0,1,1.331,"",NA,NA,NA,"chair",0,1.561,"3.133"
"1282","need","faucet",11,1,30,1,77,1.614,24,0.666666666666667,0,0,1,0.832,"",NA,NA,NA,"climax",0,1.908,"3.496"
"1282","smother","surgery",3,0,24,1,90,1.946,28,0.777777777777778,0,0,1,1.015,"",NA,NA,NA,"cow",0,5.96,"7.019"
"1282","anger","decay",1,0,22,1,82,1.738,8,0.222222222222222,1,0,0,0.989,"decay",1,NA,21.815,"hotcakes",0,27.126,"31.359"
"1282","port","cinema",2,0,2,1,73,1.972,9,0.25,1,0,0,1.396,"cinema",1,NA,36.204,"pot",0,2.819,"4.017"
"1282","nerve","bumper",11,1,25,1,73,1.807,26,0.722222222222222,0,0,1,1.197,"",NA,NA,NA,"clean",0,1.776,"3.163"
"1282","glue","force",11,1,36,1,75,2.012,27,0.75,0,0,1,1.125,"",NA,NA,NA,"table",0,2.177,"3.826"
"1282","want","ascent",10,1,6,1,75,1.724,17,0.472222222222222,1,0,0,1.131,"accent",0,NA,31.391,"picture",0,3.467,"5.924"
"1282","calf","annoy",2,0,27,1,79,2.166,4,0.111111111111111,1,0,0,1.413,"annoy",1,NA,11.942,"freeze",0,2.6,"4.639"
"1282","prison","loaf",3,0,5,1,68,2.077,12,0.333333333333333,1,0,0,1.161,"loaf",1,NA,31.39,"beef",0,4.661,"5.977"
"1282","rock","milk",10,1,28,1,84,1.727,10,0.277777777777778,1,0,0,1.267,"milk",1,NA,16.738,"beet",0,14.901,"16.934"
"1282","grip","beach",12,1,18,1,82,1.859,34,0.944444444444444,0,0,1,1.454,"",NA,NA,NA,"beach",1,13.202,"14.73"
"1282","replace","roach",11,1,33,1,82,2.146,1,0.0277777777777778,1,0,0,-99,"roach",1,NA,16.422,"find",0,2.131,"3.587"
"1282","capital","figure",3,0,23,1,78,3.03,2,0.0555555555555556,1,0,0,14.29,"figure",1,NA,25.913,"egg",0,3.347,"4.752"
"1282","pork","emperor",10,1,17,1,73,2.65,3,0.0833333333333333,1,0,0,1.366,"emperor",1,NA,26.899,"karate",0,4.175,"6.915"
"1282","bleach","ruin",10,1,4,1,79,1.608,13,0.361111111111111,1,0,0,3.181,"ruin",1,NA,27.231,"ruin",1,19.475,"20.697"
"1282","plant","worm",1,0,29,1,85,2.013,36,1,0,0,1,1.612,"",NA,NA,NA,"biology",0,1.642,"3.727"
"1282","biology","temper",2,0,1,1,84,2.401,7,0.194444444444444,1,0,0,1.255,"temper",1,NA,1395.934,"temper",1,2.279,"6.048"
"1282","link","crisis",12,1,7,1,92,2.457,20,0.555555555555556,0,0,1,1.355,"",NA,NA,NA,"coffee",0,35.355,"37.015"
"1282","caring","skirt",1,0,20,1,80,1.783,14,0.388888888888889,1,0,0,1.173,"skirt",1,NA,24.136,"otter",0,2.926,"4.461"
"1282","chicken","beet",1,0,8,1,82,2.097,18,0.5,1,0,0,1.125,"beef",0,NA,15.744,"beef",0,1.99,"3.144"
"1282","date","laugh",12,1,26,1,73,1.743,16,0.444444444444444,1,0,0,0.749,"laugh",1,NA,27.241,"refresh",0,30.975,"32.839"
"1282","shrink","mafia",10,1,35,1,73,1.86,31,0.861111111111111,0,0,1,1.062,"",NA,NA,NA,"monkey",0,191.771,"193.708"
"1282","fee","chowder",3,0,21,1,75,2.019,15,0.416666666666667,1,0,0,1.149,"chowder",1,NA,15.464,"bank",0,1.647,"3.109"
"1282","process","joker",10,1,3,1,73,1.937,23,0.638888888888889,0,0,1,0.984,"",NA,NA,NA,"regard",0,10.569,"11.968"
"1282","mill","feast",12,1,10,1,77,1.819,21,0.583333333333333,0,0,1,1.219,"",NA,NA,NA,"saw",0,1.53,"3.188"
"1282","pea","bathtub",12,1,32,1,78,2.034,25,0.694444444444444,0,0,1,0.937,"",NA,NA,NA,"window",0,2.425,"4.187"
"1282","fan","feature",1,0,14,1,93,2.106,11,0.305555555555556,1,0,0,1.086,"feature",1,NA,30.693,"grape",0,1.41,"3.147"
"1282","remind","foam",2,0,15,1,81,1.795,19,0.527777777777778,0,0,1,1.407,"",NA,NA,NA,"worm",0,17.013,"18.624"
"1302","replace","roach",11,1,30,1,70,7.666,10,0.277777777777778,0,0,1,1.228,"",NA,NA,NA,"roach",1,39.214,"40.871"
"1302","remind","foam",2,0,6,1,80,11.507,2,0.0555555555555556,0,0,1,10.957,"",NA,NA,NA,"foam",1,18.18,"19.023"
"1302","port","cinema",2,0,13,1,71,6.584,6,0.166666666666667,0,0,1,1.44,"",NA,NA,NA,"cinema",1,12.74,"13.512"
"1302","chicken","beet",1,0,15,1,75,11.18,20,0.555555555555556,1,0,0,23.455,"beet",1,NA,13.613,"beet",1,16.229,"17.096"
"1302","link","crisis",12,1,17,1,65,7.891,27,0.75,1,0,0,0.791,"crisis",1,NA,12.103,"crisis",1,20.172,"21.288"
"1302","climax","saucer",11,1,4,1,75,12.656,7,0.194444444444444,0,0,1,1.509,"",NA,NA,NA,"saucer",1,29.068,"29.943"
"1302","glue","force",11,1,29,1,84,7.451,30,0.833333333333333,1,0,0,0.952,"force",1,NA,14.031,"force",1,18.902,"24.215"
"1302","bullet","walkway",11,1,19,1,75,7.131,22,0.611111111111111,1,0,0,2.543,"walkway",1,NA,37.726,"walkway",1,21.044,"21.799"
"1302","caring","skirt",1,0,18,1,70,10.022,33,0.916666666666667,1,0,0,0.999,"skirt",1,NA,16.975,"bathtub",0,28.653,"29.52"
"1302","plant","worm",1,0,26,1,40,7.731,5,0.138888888888889,0,0,1,1.917,"",NA,NA,NA," worm",0,54.931,"55.927"
"1302","fan","feature",1,0,8,1,95,12.233,11,0.305555555555556,0,0,1,1.327,"",NA,NA,NA,"feature",1,14.359,"15.12"
"1302","grip","beach",12,1,28,1,80,6.546,21,0.583333333333333,1,0,0,1.894,"beach",1,NA,17.687,"feature",0,17.324,"18.167"
"1302","nerve","bumper",11,1,25,1,86,8.571,17,0.472222222222222,0,0,1,1.11,"",NA,NA,NA," bumper",0,45.125,"46.768"
"1302","bacon","feud",3,0,10,1,31,6.747,24,0.666666666666667,1,0,0,1.215,"feud",1,NA,22.935,"feud",1,18.348,"19.455"
"1302","rock","milk",10,1,3,1,100,6.824,34,0.944444444444444,1,0,0,0.999,"milk",1,NA,72.76,"milk",1,15.437,"16.223"
"1302","shrink","mafia",10,1,22,1,93,6.761,8,0.222222222222222,0,0,1,1.119,"",NA,NA,NA,"mafia",1,19.909,"20.55"
"1302","copy","bedroom",3,0,21,1,90,7.875,32,0.888888888888889,1,0,0,0.847,"bedroom",1,NA,31.893,"bedroom",1,38.653,"39.72"
"1302","process","joker",10,1,23,1,90,7.748,14,0.388888888888889,0,0,1,4.415,"",NA,NA,NA," joker",0,21.621,"22.344"
"1302","find","clown",2,0,33,1,85,9.894,19,0.527777777777778,1,0,0,1.016,"clown",1,NA,15.983,"clown",1,9.173,"10.175"
"1302","bleach","ruin",10,1,35,1,79,12.534,12,0.333333333333333,0,0,1,1.118,"",NA,NA,NA,"ruin",1,11.141,"11.728"
"1302","capital","figure",3,0,20,1,85,10.975,13,0.361111111111111,0,0,1,9.775,"",NA,NA,NA,"figure",1,36.94,"37.55"
"1302","pork","emperor",10,1,5,1,90,5.922,29,0.805555555555556,1,0,0,0.982,"emperor",1,NA,30.323,"emperor",1,11.556,"12.775"
"1302","knock","otter",12,1,9,1,55,8.713,31,0.861111111111111,1,0,0,0.864,"otter",1,NA,14.512,"otter",1,11.644,"12.471"
"1302","prison","loaf",3,0,32,1,76,5.379,26,0.722222222222222,1,0,0,0.864," loaf",0,NA,12.048,"loaf",1,10.149,"11.135"
"1302","biology","temper",2,0,11,1,75,9.219,18,0.5,0,0,1,1.375,"",NA,NA,NA,"temper",1,32.613,"33.544"
"1302","date","laugh",12,1,27,1,75,7.779,23,0.638888888888889,1,0,0,1.311,"laugh",1,NA,18.242,"laugh",1,19.556,"20.415"
"1302","bias","sirloin",1,0,16,1,55,6.718,25,0.694444444444444,1,0,0,0.702,"sirloin",1,NA,15.318,"sirloin",1,14.028,"14.687"
"1302","mill","feast",12,1,36,1,86,8.346,3,0.0833333333333333,0,0,1,10.759,"",NA,NA,NA,"feast",1,11.859,"12.671"
"1302","smother","surgery",3,0,14,1,80,10.295,4,0.111111111111111,0,0,1,1.799,"",NA,NA,NA,"surgery",1,37.291,"38.158"
"1302","fee","chowder",3,0,7,1,70,10.012,9,0.25,0,0,1,1.095,"",NA,NA,NA,"chowder",1,30.765,"31.327"
"1302","anger","decay",1,0,2,1,60,9.402,35,0.972222222222222,1,0,0,1.231,"decay",1,NA,75.802,"decay",1,43.244,"43.984"
"1302","pea","bathtub",12,1,12,1,79,29.2,1,0.0277777777777778,0,0,1,-99,"",NA,NA,NA,"bathtub",1,10.789,"11.392"
"1302","want","ascent",10,1,34,1,80,8.393,36,1,1,0,0,2.071,"ascent",1,NA,16.56,"ascent",1,10.196,"12.583"
"1302","calf","annoy",2,0,1,1,85,11.774,15,0.416666666666667,0,0,1,1.452,"",NA,NA,NA,"annoy",1,19.148,"22.863"
"1302","visit","glove",2,0,24,1,71,6.785,16,0.444444444444444,0,0,1,1.166,"",NA,NA,NA,"glove",1,9.852,"11.335"
"1302","need","faucet",11,1,31,1,75,10.599,28,0.777777777777778,1,0,0,1.006,"bleach",0,NA,66.005,"faucet",1,14.859,"16.103"
"1584","fan","feature",1,0,26,1,34,2.038,7,0.194444444444444,0,0,1,1.373,"",NA,NA,NA,"SKIP",0,9.717,"11.784"
"1584","capital","figure",3,0,32,1,31,3.347,2,0.0555555555555556,0,0,1,5.81,"",NA,NA,NA,"SKIP",0,2.59,"4.995"
"1584","remind","foam",2,0,13,1,31,2.287,18,0.5,0,0,1,1.125,"",NA,NA,NA,"SKIP",0,17.937,"19.146"
"1584","plant","worm",1,0,12,1,34,2.383,15,0.416666666666667,0,0,1,1.397,"",NA,NA,NA,"SKIP",0,20.847,"23.115"
"1584","mill","feast",12,1,24,1,36,2.47,25,0.694444444444444,1,0,0,1.026,"floor",0,NA,7.293,"flour",0,4.132,"6.129"
"1584","shrink","mafia",10,1,19,1,33,3.692,27,0.75,1,0,0,2.346,"skip",0,NA,4.571,"SKIP",0,9.971,"11.06"
"1584","port","cinema",2,0,30,1,36,2.686,24,0.666666666666667,1,0,0,2.429,"skip",0,NA,6.64,"SKIP",0,10.228,"11.248"
"1584","date","laugh",12,1,8,1,37,5.263,36,1,1,0,0,3.2,"laugh",1,NA,4.053,"SKIP",0,6.663,"8.798"
"1584","anger","decay",1,0,2,1,33,2.06,17,0.472222222222222,0,0,1,1.188,"",NA,NA,NA,"SKIP",0,7.488,"8.538"
"1584","visit","glove",2,0,16,1,29,1.823,20,0.555555555555556,1,0,0,1.342,"skip",0,NA,4.399,"SKIP",0,8.81,"10.091"
