"subn","word1","word2","points","value","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1018","prison","loaf",3,0,30,1,65,1.499,28,0.777777777777778,0,0,1,1.54,"",NA,NA,NA
"1018","capital","figure",3,0,31,1,25,1.961,29,0.805555555555556,1,0,0,1.661,"figure",1,NA,5.919
"1018","find","clown",2,0,32,1,1,2.03,3,0.0833333333333333,1,0,0,3.514,"?",0,NA,4.26
"1018","date","laugh",12,1,33,1,75,1.878,26,0.722222222222222,0,0,1,0.824,"",NA,NA,NA
"1018","fee","chowder",3,0,34,1,25,1.736,35,0.972222222222222,1,0,0,0.815,"?",0,NA,11.403
"1018","calf","annoy",2,0,35,1,71,1.512,11,0.305555555555556,0,0,1,0.987,"",NA,NA,NA
"1018","pea","bathtub",12,1,36,1,24,2.415,21,0.583333333333333,1,0,0,1.177,"bathtub",1,NA,3.966
"1155","biology","temper",2,0,1,1,32,8.009,3,0.0833333333333333,0,1,0,6.367,"",NA,NA,NA
"1155","shrink","mafia",10,1,2,1,74,2.073,15,0.416666666666667,1,1,1,1.622,"mafia",1,NA,7.275
"1155","want","ascent",10,1,3,1,66,2.994,2,0.0555555555555556,1,1,1,3.702,"ascent",1,NA,11.286
"1155","link","crisis",12,1,4,1,25,3.115,31,0.861111111111111,0,1,0,0.935,"",NA,NA,NA
"1155","smother","surgery",3,0,5,1,72,2.282,22,0.611111111111111,1,1,1,7.862,"surgery",1,NA,13.837
"1155","nerve","bumper",11,1,6,1,76,7.002,8,0.222222222222222,1,1,1,0.958,"bumper",1,NA,8.111
"1155","need","faucet",11,1,7,1,85,13.178,20,0.555555555555556,1,1,1,0.83,"otter",0,NA,13.951
"1155","fan","feature",1,0,8,1,77,6.571,10,0.277777777777778,1,1,1,0.951,"feather",0,NA,18.215
"1155","calf","annoy",2,0,9,1,70,2.459,28,0.777777777777778,0,1,0,0.622,"",NA,NA,NA
"1155","rock","milk",10,1,10,1,74,5.659,13,0.361111111111111,1,1,1,1.278,"milk",1,NA,9.563
"1155","process","joker",10,1,11,1,27,1.928,24,0.666666666666667,0,1,0,1.014,"",NA,NA,NA
"1155","capital","figure",3,0,12,1,37,16.723,34,0.944444444444444,0,1,0,0.807,"",NA,NA,NA
"1155","replace","roach",11,1,13,1,35,1.874,17,0.472222222222222,0,1,0,1.55,"",NA,NA,NA
"1155","plant","worm",1,0,14,1,67,1.384,36,1,0,1,0,4.045,"",NA,NA,NA
"1155","chicken","beet",1,0,15,1,96,3.778,12,0.333333333333333,1,1,1,0.983,"beet",1,NA,11.215
"1155","mill","feast",12,1,16,1,39,1.995,27,0.75,0,1,0,1.124,"",NA,NA,NA
"1155","pork","emperor",10,1,17,1,76,3.091,23,0.638888888888889,0,1,0,2.23,"",NA,NA,NA
"1155","bullet","walkway",11,1,18,1,83,2.282,7,0.194444444444444,1,1,1,0.702,"sidewalk",0,NA,12.548
"1155","visit","glove",2,0,19,1,60,2.033,11,0.305555555555556,1,1,1,1.086,"grip",0,NA,14.751
"1155","glue","force",11,1,20,1,88,2.574,26,0.722222222222222,0,1,0,1.326,"",NA,NA,NA
"1155","bias","sirloin",1,0,21,1,70,3.403,35,0.972222222222222,0,1,0,0.791,"",NA,NA,NA
"1155","bacon","feud",3,0,22,1,33,5.042,4,0.111111111111111,1,1,1,6.871,"feud",1,NA,10.73
"1155","prison","loaf",3,0,23,1,91,1.745,18,0.5,1,1,1,0.845,"loaf",1,NA,6.871
"1155","bleach","ruin",10,1,24,1,83,2.842,21,0.583333333333333,1,1,1,1.55,"ruin",1,NA,11.807
"1155","knock","otter",12,1,25,1,80,6.642,6,0.166666666666667,1,1,1,1.181,"otter",1,NA,8.583
"1155","copy","bedroom",3,0,26,1,71,2.042,25,0.694444444444444,0,1,0,0.655,"",NA,NA,NA
"1155","port","cinema",2,0,27,1,59,2.115,30,0.833333333333333,0,1,0,1.687,"",NA,NA,NA
"1155","find","clown",2,0,28,1,62,2.915,9,0.25,0,1,0,1.095,"",NA,NA,NA
"1155","fee","chowder",3,0,29,1,62,1.586,16,0.444444444444444,0,1,0,1.215,"",NA,NA,NA
"1155","date","laugh",12,1,30,1,84,1.85,32,0.888888888888889,0,1,0,0.991,"",NA,NA,NA
"1155","climax","saucer",11,1,31,1,36,2.355,33,0.916666666666667,0,1,0,0.703,"",NA,NA,NA
"1155","anger","decay",1,0,32,1,96,2.339,19,0.527777777777778,1,1,1,0.727,"decay",1,NA,11.412
"1155","pea","bathtub",12,1,33,1,68,1.973,5,0.138888888888889,1,1,1,10.019,"annoy",0,NA,10.638
"1155","grip","beach",12,1,34,1,67,5.689,1,0.0277777777777778,1,1,1,-99,"beach",1,NA,19.575
"1155","remind","foam",2,0,35,1,68,1.955,29,0.805555555555556,0,1,0,0.654,"",NA,NA,NA
"1155","caring","skirt",1,0,36,1,27,2.41,14,0.388888888888889,1,1,1,0.919,"jar",0,NA,21.597
"1242","climax","saucer",11,1,1,1,37,1.907,18,0.5,1,0,0,1,"saucer",1,NA,5.238
"1242","link","crisis",12,1,2,1,31,2.781,25,0.694444444444444,1,0,0,1.161,"dunno",0,NA,15.103
"1242","anger","decay",1,0,3,1,100,2.071,6,0.166666666666667,0,0,1,1.608,"",NA,NA,NA
"1242","nerve","bumper",11,1,4,1,69,6.677,12,0.333333333333333,0,0,1,1.047,"",NA,NA,NA
"1242","bias","sirloin",1,0,5,1,25,2.262,26,0.722222222222222,1,0,0,0.879,"dunno",0,NA,7.816
"1242","bacon","feud",3,0,6,1,86,3.905,23,0.638888888888889,0,0,1,0.89,"",NA,NA,NA
"1242","bleach","ruin",10,1,7,1,91,2.411,17,0.472222222222222,0,0,1,1.075,"",NA,NA,NA
"1242","fan","feature",1,0,8,1,74,2.245,13,0.361111111111111,0,0,1,1.064,"",NA,NA,NA
"1242","replace","roach",11,1,9,1,69,1.849,34,0.944444444444444,1,0,0,0.746,"dunno",0,NA,13.005
"1242","date","laugh",12,1,10,1,78,2.51,15,0.416666666666667,0,0,1,1.19,"",NA,NA,NA
"1242","caring","skirt",1,0,11,1,23,2.186,30,0.833333333333333,1,0,0,0.862,"dunno",0,NA,5.146
"1242","biology","temper",2,0,12,1,49,3.356,29,0.805555555555556,1,0,0,1.175,"anger",0,NA,5.266
"1242","copy","bedroom",3,0,13,1,63,2.186,32,0.888888888888889,1,0,0,0.75,"bedroom",1,NA,26.927
"1242","need","faucet",11,1,14,1,69,3.073,14,0.388888888888889,0,0,1,0.919,"",NA,NA,NA
"1242","visit","glove",2,0,15,1,34,2.018,31,0.861111111111111,1,0,0,1.125,"glove",1,NA,71.787
"1242","smother","surgery",3,0,16,1,84,2.53,35,0.972222222222222,1,0,0,1.111,"surgeon",0,NA,6.177
"1242","calf","annoy",2,0,17,1,35,2.57,7,0.194444444444444,0,0,1,1.167,"",NA,NA,NA
"1242","shrink","mafia",10,1,18,1,100,2.76,9,0.25,0,0,1,1.079,"",NA,NA,NA
"1242","prison","loaf",3,0,19,1,42,2.631,10,0.277777777777778,1,0,0,1.287,"foam",0,NA,7.651
"1242","fee","chowder",3,0,20,1,33,2.311,16,0.444444444444444,1,0,0,1.108,"chowder",1,NA,36.394
"1242","process","joker",10,1,21,1,39,4.1,22,0.611111111111111,1,0,0,1.034,"joker",1,NA,21.702
"1242","want","ascent",10,1,22,1,57,2.853,3,0.0833333333333333,1,0,0,1.929,"bias",0,NA,6.482
"1242","find","clown",2,0,23,1,100,3.102,8,0.222222222222222,0,0,1,1.03,"",NA,NA,NA
"1242","glue","force",11,1,24,1,82,2.7,19,0.527777777777778,0,0,1,0.779,"",NA,NA,NA
"1242","mill","feast",12,1,25,1,100,2.83,4,0.111111111111111,0,0,1,1.185,"",NA,NA,NA
"1242","plant","worm",1,0,26,1,100,2.465,2,0.0555555555555556,0,0,1,7.13,"",NA,NA,NA
"1242","port","cinema",2,0,27,1,10,4.127,1,0.0277777777777778,0,0,1,-99,"",NA,NA,NA
"1242","grip","beach",12,1,28,1,52,3.363,28,0.777777777777778,1,0,0,5.876,"beach",1,NA,15.256
"1242","bullet","walkway",11,1,29,1,32,2.072,21,0.583333333333333,1,0,0,0.89,"walkway",1,NA,39.342
"1242","knock","otter",12,1,30,1,81,2.511,24,0.666666666666667,0,0,1,0.91,"",NA,NA,NA
"1242","pea","bathtub",12,1,31,1,92,2.379,20,0.555555555555556,0,0,1,0.975,"",NA,NA,NA
"1242","capital","figure",3,0,32,1,67,2.727,11,0.305555555555556,0,0,1,3.392,"",NA,NA,NA
"1242","pork","emperor",10,1,33,1,100,2.406,36,1,1,0,0,1.109,"emporer",0,NA,5.61
"1242","rock","milk",10,1,34,1,85,2.09,33,0.916666666666667,1,0,0,3.469,"milk",1,NA,4.623
"1242","chicken","beet",1,0,35,1,100,2.254,27,0.75,1,0,0,1.018,"foam",0,NA,6.177
"1242","remind","foam",2,0,36,1,23,2.308,5,0.138888888888889,0,0,1,1.022,"",NA,NA,NA
"1282","biology","temper",2,0,1,1,84,2.401,7,0.194444444444444,1,0,0,1.255,"temper",1,NA,1395.934
"1282","port","cinema",2,0,2,1,73,1.972,9,0.25,1,0,0,1.396,"cinema",1,NA,36.204
"1282","process","joker",10,1,3,1,73,1.937,23,0.638888888888889,0,0,1,0.984,"",NA,NA,NA
"1282","bleach","ruin",10,1,4,1,79,1.608,13,0.361111111111111,1,0,0,3.181,"ruin",1,NA,27.231
"1282","prison","loaf",3,0,5,1,68,2.077,12,0.333333333333333,1,0,0,1.161,"loaf",1,NA,31.39
"1282","want","ascent",10,1,6,1,75,1.724,17,0.472222222222222,1,0,0,1.131,"accent",0,NA,31.391
"1282","link","crisis",12,1,7,1,92,2.457,20,0.555555555555556,0,0,1,1.355,"",NA,NA,NA
"1282","chicken","beet",1,0,8,1,82,2.097,18,0.5,1,0,0,1.125,"beef",0,NA,15.744
"1282","visit","glove",2,0,9,1,74,1.847,22,0.611111111111111,0,0,1,1.238,"",NA,NA,NA
"1282","mill","feast",12,1,10,1,77,1.819,21,0.583333333333333,0,0,1,1.219,"",NA,NA,NA
"1282","climax","saucer",11,1,11,1,76,1.954,6,0.166666666666667,1,0,0,1.249,"saucer",1,NA,36.99
"1282","bias","sirloin",1,0,12,1,75,22.275,5,0.138888888888889,1,0,0,1.252,"sirloin",1,NA,22.118
"1282","bullet","walkway",11,1,13,1,72,1.846,35,0.972222222222222,0,0,1,1.05,"",NA,NA,NA
"1282","fan","feature",1,0,14,1,93,2.106,11,0.305555555555556,1,0,0,1.086,"feature",1,NA,30.693
"1282","remind","foam",2,0,15,1,81,1.795,19,0.527777777777778,0,0,1,1.407,"",NA,NA,NA
"1282","copy","bedroom",3,0,16,1,76,1.589,32,0.888888888888889,0,0,1,1.331,"",NA,NA,NA
"1282","pork","emperor",10,1,17,1,73,2.65,3,0.0833333333333333,1,0,0,1.366,"emperor",1,NA,26.899
"1282","grip","beach",12,1,18,1,82,1.859,34,0.944444444444444,0,0,1,1.454,"",NA,NA,NA
"1282","find","clown",2,0,19,1,74,1.601,30,0.833333333333333,0,0,1,1.108,"",NA,NA,NA
"1282","caring","skirt",1,0,20,1,80,1.783,14,0.388888888888889,1,0,0,1.173,"skirt",1,NA,24.136
"1282","fee","chowder",3,0,21,1,75,2.019,15,0.416666666666667,1,0,0,1.149,"chowder",1,NA,15.464
"1282","anger","decay",1,0,22,1,82,1.738,8,0.222222222222222,1,0,0,0.989,"decay",1,NA,21.815
"1282","capital","figure",3,0,23,1,78,3.03,2,0.0555555555555556,1,0,0,14.29,"figure",1,NA,25.913
"1282","smother","surgery",3,0,24,1,90,1.946,28,0.777777777777778,0,0,1,1.015,"",NA,NA,NA
"1282","nerve","bumper",11,1,25,1,73,1.807,26,0.722222222222222,0,0,1,1.197,"",NA,NA,NA
"1282","date","laugh",12,1,26,1,73,1.743,16,0.444444444444444,1,0,0,0.749,"laugh",1,NA,27.241
"1282","calf","annoy",2,0,27,1,79,2.166,4,0.111111111111111,1,0,0,1.413,"annoy",1,NA,11.942
"1282","rock","milk",10,1,28,1,84,1.727,10,0.277777777777778,1,0,0,1.267,"milk",1,NA,16.738
"1282","plant","worm",1,0,29,1,85,2.013,36,1,0,0,1,1.612,"",NA,NA,NA
"1282","need","faucet",11,1,30,1,77,1.614,24,0.666666666666667,0,0,1,0.832,"",NA,NA,NA
"1282","knock","otter",12,1,31,1,72,1.679,29,0.805555555555556,0,0,1,0.891,"",NA,NA,NA
"1282","pea","bathtub",12,1,32,1,78,2.034,25,0.694444444444444,0,0,1,0.937,"",NA,NA,NA
"1282","replace","roach",11,1,33,1,82,2.146,1,0.0277777777777778,1,0,0,-99,"roach",1,NA,16.422
"1282","bacon","feud",3,0,34,1,81,1.789,33,0.916666666666667,0,0,1,2.095,"",NA,NA,NA
"1282","shrink","mafia",10,1,35,1,73,1.86,31,0.861111111111111,0,0,1,1.062,"",NA,NA,NA
"1282","glue","force",11,1,36,1,75,2.012,27,0.75,0,0,1,1.125,"",NA,NA,NA
"1302","calf","annoy",2,0,1,1,85,11.774,15,0.416666666666667,0,0,1,1.452,"",NA,NA,NA
"1302","anger","decay",1,0,2,1,60,9.402,35,0.972222222222222,1,0,0,1.231,"decay",1,NA,75.802
"1302","rock","milk",10,1,3,1,100,6.824,34,0.944444444444444,1,0,0,0.999,"milk",1,NA,72.76
"1302","climax","saucer",11,1,4,1,75,12.656,7,0.194444444444444,0,0,1,1.509,"",NA,NA,NA
"1302","pork","emperor",10,1,5,1,90,5.922,29,0.805555555555556,1,0,0,0.982,"emperor",1,NA,30.323
"1302","remind","foam",2,0,6,1,80,11.507,2,0.0555555555555556,0,0,1,10.957,"",NA,NA,NA
"1302","fee","chowder",3,0,7,1,70,10.012,9,0.25,0,0,1,1.095,"",NA,NA,NA
"1302","fan","feature",1,0,8,1,95,12.233,11,0.305555555555556,0,0,1,1.327,"",NA,NA,NA
"1302","knock","otter",12,1,9,1,55,8.713,31,0.861111111111111,1,0,0,0.864,"otter",1,NA,14.512
"1302","bacon","feud",3,0,10,1,31,6.747,24,0.666666666666667,1,0,0,1.215,"feud",1,NA,22.935
"1302","biology","temper",2,0,11,1,75,9.219,18,0.5,0,0,1,1.375,"",NA,NA,NA
"1302","pea","bathtub",12,1,12,1,79,29.2,1,0.0277777777777778,0,0,1,-99,"",NA,NA,NA
"1302","port","cinema",2,0,13,1,71,6.584,6,0.166666666666667,0,0,1,1.44,"",NA,NA,NA
"1302","smother","surgery",3,0,14,1,80,10.295,4,0.111111111111111,0,0,1,1.799,"",NA,NA,NA
"1302","chicken","beet",1,0,15,1,75,11.18,20,0.555555555555556,1,0,0,23.455,"beet",1,NA,13.613
"1302","bias","sirloin",1,0,16,1,55,6.718,25,0.694444444444444,1,0,0,0.702,"sirloin",1,NA,15.318
"1302","link","crisis",12,1,17,1,65,7.891,27,0.75,1,0,0,0.791,"crisis",1,NA,12.103
"1302","caring","skirt",1,0,18,1,70,10.022,33,0.916666666666667,1,0,0,0.999,"skirt",1,NA,16.975
"1302","bullet","walkway",11,1,19,1,75,7.131,22,0.611111111111111,1,0,0,2.543,"walkway",1,NA,37.726
"1302","capital","figure",3,0,20,1,85,10.975,13,0.361111111111111,0,0,1,9.775,"",NA,NA,NA
"1302","copy","bedroom",3,0,21,1,90,7.875,32,0.888888888888889,1,0,0,0.847,"bedroom",1,NA,31.893
"1302","shrink","mafia",10,1,22,1,93,6.761,8,0.222222222222222,0,0,1,1.119,"",NA,NA,NA
"1302","process","joker",10,1,23,1,90,7.748,14,0.388888888888889,0,0,1,4.415,"",NA,NA,NA
"1302","visit","glove",2,0,24,1,71,6.785,16,0.444444444444444,0,0,1,1.166,"",NA,NA,NA
"1302","nerve","bumper",11,1,25,1,86,8.571,17,0.472222222222222,0,0,1,1.11,"",NA,NA,NA
"1302","plant","worm",1,0,26,1,40,7.731,5,0.138888888888889,0,0,1,1.917,"",NA,NA,NA
"1302","date","laugh",12,1,27,1,75,7.779,23,0.638888888888889,1,0,0,1.311,"laugh",1,NA,18.242
"1302","grip","beach",12,1,28,1,80,6.546,21,0.583333333333333,1,0,0,1.894,"beach",1,NA,17.687
"1302","glue","force",11,1,29,1,84,7.451,30,0.833333333333333,1,0,0,0.952,"force",1,NA,14.031
"1302","replace","roach",11,1,30,1,70,7.666,10,0.277777777777778,0,0,1,1.228,"",NA,NA,NA
"1302","need","faucet",11,1,31,1,75,10.599,28,0.777777777777778,1,0,0,1.006,"bleach",0,NA,66.005
"1302","prison","loaf",3,0,32,1,76,5.379,26,0.722222222222222,1,0,0,0.864," loaf",0,NA,12.048
"1302","find","clown",2,0,33,1,85,9.894,19,0.527777777777778,1,0,0,1.016,"clown",1,NA,15.983
"1302","want","ascent",10,1,34,1,80,8.393,36,1,1,0,0,2.071,"ascent",1,NA,16.56
"1302","bleach","ruin",10,1,35,1,79,12.534,12,0.333333333333333,0,0,1,1.118,"",NA,NA,NA
"1302","mill","feast",12,1,36,1,86,8.346,3,0.0833333333333333,0,0,1,10.759,"",NA,NA,NA
"1584","bullet","walkway",11,1,1,1,38,2.34,8,0.222222222222222,0,0,1,0.949,"",NA,NA,NA
"1584","anger","decay",1,0,2,1,33,2.06,17,0.472222222222222,0,0,1,1.188,"",NA,NA,NA
"1584","want","ascent",10,1,3,1,34,2.78,31,0.861111111111111,1,0,0,1.319,"skip",0,NA,10.729
"1584","knock","otter",12,1,4,1,32,2.206,30,0.833333333333333,1,0,0,1.8,"wood",0,NA,4.079
"1584","calf","annoy",2,0,5,1,35,2.247,16,0.444444444444444,0,0,1,1.861,"",NA,NA,NA
"1584","replace","roach",11,1,6,1,34,2.299,9,0.25,0,0,1,2.929,"",NA,NA,NA
"1584","fee","chowder",3,0,7,1,30,2.066,12,0.333333333333333,0,0,1,1.77,"",NA,NA,NA
"1584","date","laugh",12,1,8,1,37,5.263,36,1,1,0,0,3.2,"laugh",1,NA,4.053
"1584","glue","force",11,1,9,1,29,2.334,28,0.777777777777778,1,0,0,3.275,"hold",0,NA,3.902
"1584","find","clown",2,0,10,1,32,4.224,1,0.0277777777777778,0,0,1,-99,"",NA,NA,NA
"1584","link","crisis",12,1,11,1,31,2.126,23,0.638888888888889,1,0,0,0.99,"destruction",0,NA,5.433
"1584","plant","worm",1,0,12,1,34,2.383,15,0.416666666666667,0,0,1,1.397,"",NA,NA,NA
"1584","remind","foam",2,0,13,1,31,2.287,18,0.5,0,0,1,1.125,"",NA,NA,NA
"1584","smother","surgery",3,0,14,1,30,1.857,21,0.583333333333333,1,0,0,1.002,"surgery",1,NA,6.192
"1584","bias","sirloin",1,0,15,1,34,2.459,22,0.611111111111111,1,0,0,1.142,"skip",0,NA,2.778
"1584","visit","glove",2,0,16,1,29,1.823,20,0.555555555555556,1,0,0,1.342,"skip",0,NA,4.399
"1584","pea","bathtub",12,1,17,1,39,2.409,13,0.361111111111111,0,0,1,1.351,"",NA,NA,NA
"1584","chicken","beet",1,0,18,1,31,2.68,34,0.944444444444444,1,0,0,3.916,"afoot",0,NA,4.439
"1584","shrink","mafia",10,1,19,1,33,3.692,27,0.75,1,0,0,2.346,"skip",0,NA,4.571
"1584","copy","bedroom",3,0,20,1,36,1.962,19,0.527777777777778,1,0,0,1.018,"skip",0,NA,5.024
"1584","climax","saucer",11,1,21,1,32,1.994,6,0.166666666666667,0,0,1,1.039,"",NA,NA,NA
"1584","biology","temper",2,0,22,1,33,1.976,11,0.305555555555556,0,0,1,1.791,"",NA,NA,NA
"1584","pork","emperor",10,1,23,1,32,2.276,33,0.916666666666667,1,0,0,2.624,"emperor",1,NA,4.31
"1584","mill","feast",12,1,24,1,36,2.47,25,0.694444444444444,1,0,0,1.026,"floor",0,NA,7.293
"1584","process","joker",10,1,25,1,32,3.267,32,0.888888888888889,1,0,0,1.451,"skip",0,NA,5.01
"1584","fan","feature",1,0,26,1,34,2.038,7,0.194444444444444,0,0,1,1.373,"",NA,NA,NA
"1584","grip","beach",12,1,27,1,32,2.864,5,0.138888888888889,0,0,1,1.058,"",NA,NA,NA
"1584","caring","skirt",1,0,28,1,31,1.991,35,0.972222222222222,1,0,0,2.29,"skip",0,NA,11.132
"1584","need","faucet",11,1,29,1,39,2.218,14,0.388888888888889,0,0,1,1.163,"",NA,NA,NA
"1584","port","cinema",2,0,30,1,36,2.686,24,0.666666666666667,1,0,0,2.429,"skip",0,NA,6.64
"1584","bacon","feud",3,0,31,1,36,2.541,26,0.722222222222222,1,0,0,2.896,"need",0,NA,7.253
"1584","capital","figure",3,0,32,1,31,3.347,2,0.0555555555555556,0,0,1,5.81,"",NA,NA,NA
"1584","bleach","ruin",10,1,33,1,35,2.337,10,0.277777777777778,0,0,1,1.784,"",NA,NA,NA
"1584","prison","loaf",3,0,34,1,33,2.73,29,0.805555555555556,1,0,0,3.134,"skip",0,NA,6.474
"1584","rock","milk",10,1,35,1,38,2.621,3,0.0833333333333333,0,0,1,4.598,"",NA,NA,NA
"1584","nerve","bumper",11,1,36,1,30,2.401,4,0.111111111111111,0,0,1,1.313,"",NA,NA,NA
"1636","bias","sirloin",1,0,1,1,80,3.42,9,0.25,1,0,0,0.939,"sirloin",1,NA,14.322
"1636","nerve","bumper",11,1,2,1,100,2.788,3,0.0833333333333333,0,0,1,1.266,"",NA,NA,NA
"1636","mill","feast",12,1,3,1,100,2.638,30,0.833333333333333,0,0,1,6.148,"",NA,NA,NA
"1636","smother","surgery",3,0,4,1,80,4.245,22,0.611111111111111,1,0,0,1.227,"surgery",1,NA,11.567
"1636","remind","foam",2,0,5,1,75,3.911,36,1,1,0,0,1.314,"foam",1,NA,11.724
"1636","chicken","beet",1,0,6,1,80,3.823,5,0.138888888888889,1,0,0,4.076,"beet",1,NA,5.332
"1636","pea","bathtub",12,1,7,1,100,2.146,35,0.972222222222222,0,0,1,1.208,"",NA,NA,NA
"1636","fee","chowder",3,0,8,1,85,6.131,21,0.583333333333333,1,0,0,1.224,"chowder",1,NA,10.518
"1636","knock","otter",12,1,9,1,100,2.302,15,0.416666666666667,0,0,1,0.955,"",NA,NA,NA
"1636","capital","figure",3,0,10,1,75,7.281,8,0.222222222222222,1,0,0,1.305,"figure",1,NA,9.134
"1636","biology","temper",2,0,11,1,75,8.411,1,0.0277777777777778,1,0,0,-99,"temper",1,NA,17.001
"1636","process","joker",10,1,12,1,100,2.73,32,0.888888888888889,0,0,1,0.972,"",NA,NA,NA
"1636","grip","beach",12,1,13,1,100,2.412,34,0.944444444444444,0,0,1,0.928,"",NA,NA,NA
"1636","rock","milk",10,1,14,1,100,2.403,20,0.555555555555556,0,0,1,0.922,"",NA,NA,NA
"1636","prison","loaf",3,0,15,1,90,3.336,17,0.472222222222222,1,0,0,0.986,"loaf",1,NA,5.281
"1636","glue","force",11,1,16,1,100,3.565,4,0.111111111111111,0,0,1,1.347,"",NA,NA,NA
"1636","port","cinema",2,0,17,1,85,4.039,11,0.305555555555556,1,0,0,0.938,"cinema",1,NA,18.997
"1636","date","laugh",12,1,18,1,100,2.49,7,0.194444444444444,0,0,1,1.36,"",NA,NA,NA
"1636","bleach","ruin",10,1,19,1,100,2.247,33,0.916666666666667,0,0,1,0.898,"",NA,NA,NA
"1636","fan","feature",1,0,20,1,75,3.293,19,0.527777777777778,1,0,0,1.185,"feature",1,NA,13.221
"1636","plant","worm",1,0,21,1,85,4.346,13,0.361111111111111,1,0,0,1.034,"worm",1,NA,10.397
"1636","caring","skirt",1,0,22,1,75,5.035,2,0.0555555555555556,1,0,0,17.519,"skirt",1,NA,21.735
"1636","replace","roach",11,1,23,1,100,2.755,25,0.694444444444444,0,0,1,0.837,"",NA,NA,NA
"1636","copy","bedroom",3,0,24,1,75,3.463,24,0.666666666666667,1,0,0,0.867,"bedroom",1,NA,12.989
"1636","want","ascent",10,1,25,1,100,2.516,18,0.5,0,0,1,1.044,"",NA,NA,NA
"1636","need","faucet",11,1,26,1,100,2.453,12,0.333333333333333,0,0,1,0.962,"",NA,NA,NA
"1636","bacon","feud",3,0,27,1,70,3.376,6,0.166666666666667,1,0,0,1.903,"feud",1,NA,12.166
"1636","bullet","walkway",11,1,28,1,100,2.138,29,0.805555555555556,0,0,1,1.026,"",NA,NA,NA
"1636","link","crisis",12,1,29,1,100,2.153,27,0.75,0,0,1,0.979,"",NA,NA,NA
